model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,potential_type,seed,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,44,0.0,0.11982253561458242,1.115134804086864,0.8371238425925926,0.8270833333333334,20241228-222551,results_148.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,16,max,42,0.0,0.08330435650658947,1.483441870241926,0.6709673250680565,0.6916286087828641,20241219-013359,results_93.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,max,43,0.0,0.16041443760361132,1.416813540711972,0.659940909538649,0.6726658428254172,20241222-045421,results_22.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,max,43,0.0,0.16041443760361132,1.416813540711972,0.659940909538649,0.6726658428254172,20241219-162526,results_24.jsonl
mhdang/dpo-sdxl-text2image-v1,True,10.0,20,20,80,4,max,42,0.0,0.32146189704709593,1.3838619437585729,0.6563784117773479,0.675591374740311,20241205-144854,results_36.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,44,0.0,0.29141035099778234,1.2723434828491258,0.6557629486352891,0.660540869689806,20241219-155235,results_30.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,12,diff,42,0.0,0.11261635416598484,1.4619748105798556,0.6542230594956658,0.6646818360914105,20241203-234551,results_200.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,max,42,0.0,0.15685376027854964,1.388145002437112,0.6484516709649689,0.659838724120639,20241211-072920,results_145.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,max,42,0.0,0.15685376027854964,1.388145002437112,0.6484516709649689,0.659838724120639,20241221-123335,results_169.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,max,42,0.0,0.15685376027854964,1.388145002437112,0.6484516709649689,0.659838724120639,20241219-013156,results_13.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,16,diff,42,0.0,0.07819574200061939,1.4135415922651644,0.6436361285729637,0.641443423597679,20241208-153344,results_72.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,16,max,44,0.0,0.0786208355385443,1.4159639417235934,0.6420493834622824,0.672288219070134,20241219-190956,results_18.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,16,max,43,0.0,0.07876441211403461,1.4249496502670413,0.6414221447632352,0.6612563579052941,20241226-230216,results_187.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,16,max,43,0.0,0.07876441211403461,1.4249496502670413,0.6414221447632352,0.6612563579052941,20241221-191102,results_80.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,16,max,43,0.0,0.07876441211403461,1.4249496502670413,0.6414221447632352,0.6612563579052941,20241225-021323,results_189.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,16,max,42,0.0,0.07920230480052437,1.4320057321467838,0.6412072632351887,0.643250143276739,20241218-212646,results_94.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,16,max,42,0.0,0.07920230480052437,1.4320057321467838,0.6412072632351887,0.643250143276739,20241221-062520,results_11.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,diff,42,0.0,0.1532356003596183,1.3579611140227528,0.6409099863887099,0.6516286087828641,20241210-161918,results_45.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,diff,42,0.0,0.1532356003596183,1.3579611140227528,0.6409099863887099,0.6516286087828641,20241210-161901,results_166.jsonl
mhdang/dpo-sdxl-text2image-v1,True,10.0,20,20,80,4,diff,42,0.0,0.30655034330052916,1.3237530724103368,0.6399562110466367,0.635851153377749,20241205-230827,results_100.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,42,0.0,0.29196945114640577,1.2731741001900239,0.6332126674546887,0.6489300809513575,20241208-140817,results_156.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,42,0.0,0.29196945114640577,1.2731741001900239,0.6332126674546887,0.6489300809513575,20241219-010020,results_127.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,42,0.0,0.29196945114640577,1.2731741001900239,0.6332126674546887,0.6489300809513575,20241205-113524,results_197.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,diff,42,0.0,0.36065268954245294,1.172048887759144,0.6263816056546552,0.6230408696898059,20241205-113126,results_111.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,diff,42,0.0,0.36065268954245294,1.172048887759144,0.6263816056546552,0.6230408696898059,20241205-113133,results_140.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,8,max,43,0.0,0.14142605537467823,1.2807333459875547,0.6236174242424243,0.6376038756357906,20241221-124236,results_174.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,max,43,0.0,0.3716198499023273,1.2157068671271285,0.6233984645509468,0.6321011533777491,20241224-185447,results_52.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,max,44,0.0,0.3678554001176138,1.2015629335244271,0.6209454772309383,0.610724443011677,20241225-012607,results_79.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,max,44,0.0,0.3678554001176138,1.2015629335244271,0.6209454772309383,0.610724443011677,20241227-035627,results_71.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,max,44,0.0,0.3678554001176138,1.2015629335244271,0.6209454772309383,0.610724443011677,20241227-020151,results_165.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,max,42,0.0,0.36773635846837194,1.1996834279251896,0.6184989373641855,0.6168378823697973,20241226-135038,results_188.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,max,42,0.0,0.36773635846837194,1.1996834279251896,0.6184989373641855,0.6168378823697973,20241226-154911,results_139.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,max,42,0.0,0.36773635846837194,1.1996834279251896,0.6184989373641855,0.6168378823697973,20241205-113526,results_158.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,43,0.0,0.29137011674598234,1.2727343587652793,0.6174158920767963,0.6232190701339638,20241221-185009,results_87.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,43,0.0,0.29137011674598234,1.2727343587652793,0.6174158920767963,0.6232190701339638,20241219-082720,results_190.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,3,diff,42,0.0,0.3723166750107806,1.1736714552277885,0.6162699393461805,0.622727093631349,20241204-202159,results_9.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,max,42,0.0,0.24982040831111843,1.1265056366075645,0.6161234015688803,0.628917723332617,20241221-052057,results_124.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,max,42,0.0,0.24982040831111843,1.1265056366075645,0.6161234015688803,0.628917723332617,20241208-140804,results_104.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,max,42,0.0,0.24982040831111843,1.1265056366075645,0.6161234015688803,0.628917723332617,20241209-041638,results_134.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,diff,42,0.0,0.06842771557051938,1.2585085728567829,0.6065353165968193,0.6134203739522889,20241203-233916,results_151.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,43,0.0,0.2984325752645223,1.0140924787961003,0.6011276177854192,0.6096589118131671,20241224-153023,results_117.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,43,0.0,0.2984325752645223,1.0140924787961003,0.6011276177854192,0.6096589118131671,20241226-123826,results_146.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,43,0.0,0.06816102142818778,1.2775819053802686,0.5991889585124293,0.6169576079948421,20241221-151955,results_138.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,43,0.0,0.06816102142818778,1.2775819053802686,0.5991889585124293,0.6169576079948421,20241224-194221,results_122.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,42,0.0,0.06851957693106998,1.276562705945904,0.5979018017049932,0.6050755784798338,20241221-082448,results_76.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,42,0.0,0.06851957693106998,1.276562705945904,0.5979018017049932,0.6050755784798338,20241208-221601,results_132.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,42,0.0,0.06851957693106998,1.276562705945904,0.5979018017049932,0.6050755784798338,20241208-153407,results_59.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,44,0.0,0.06995660005539199,1.2979535910146813,0.597423531637295,0.6054833798982736,20241219-124442,results_112.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,44,0.0,0.06995660005539199,1.2979535910146813,0.597423531637295,0.6054833798982736,20241222-071423,results_10.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,44,0.0,0.06995660005539199,1.2979535910146813,0.597423531637295,0.6054833798982736,20241227-073909,results_42.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,44,0.0,0.06995660005539199,1.2979535910146813,0.597423531637295,0.6054833798982736,20241225-065202,results_46.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,diff,42,0.0,0.06768010788675899,1.2697216661758115,0.5962189884214485,0.6038592485135038,20241208-153352,results_123.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,43,0.0,0.06692918931019524,1.265312037660587,0.5907440540153306,0.5972900995773337,20241224-232217,results_193.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,43,0.0,0.06692918931019524,1.265312037660587,0.5907440540153306,0.5972900995773337,20241221-234344,results_125.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,43,0.0,0.06692918931019524,1.265312037660587,0.5907440540153306,0.5972900995773337,20241227-003651,results_84.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,43,0.0,0.06692918931019524,1.265312037660587,0.5907440540153306,0.5972900995773337,20241219-075528,results_131.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,44,0.0,0.29795325567536457,1.0078160478219822,0.590155395563197,0.5950419084461639,20241226-151710,results_56.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,44,0.0,0.29795325567536457,1.0078160478219822,0.590155395563197,0.5950419084461639,20241226-151203,results_155.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,42,0.0,0.30018455573178565,1.0112569379699408,0.5900259987582682,0.5987502686438857,20241224-124548,results_68.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,42,0.0,0.30018455573178565,1.0112569379699408,0.5900259987582682,0.5987502686438857,20241205-113450,results_152.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,max,42,0.0,0.30018455573178565,1.0112569379699408,0.5900259987582682,0.5987502686438857,20241226-100656,results_88.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,diff,42,0.0,0.3098898448792161,0.9992784564964352,0.587660141605177,0.582074736728992,20241204-202116,results_83.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,3,diff,42,0.0,0.2888803421137084,0.977160030041247,0.5871903132984694,0.5848097105809872,20241205-113108,results_118.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,max,44,0.0,0.2484580559932221,1.1109852031674101,0.5841662637008381,0.5870020237839387,20241221-120413,results_38.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,43,0.0,0.11947835738110486,1.1174670547390295,0.5841577230639731,0.5967085751128304,20241221-114948,results_58.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241227-032952,results_115.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241225-025820,results_121.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241219-102241,results_181.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,16,max,44,0.0,0.06802718658608622,1.2818649810933378,0.581281750349237,0.6114487964753922,20241221-222055,results_50.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,42,0.0,0.06658358214821777,1.2564433883323214,0.5789174546887313,0.5998459775055519,20241221-164711,results_144.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,16,max,42,0.0,0.06658358214821777,1.2564433883323214,0.5789174546887313,0.5998459775055519,20241224-161843,results_157.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,44,0.0,0.12045490430187178,1.1324070480199122,0.5713826093380615,0.5752848520667669,20241219-072229,results_96.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,44,0.0,0.12045490430187178,1.1324070480199122,0.5713826093380615,0.5752848520667669,20241221-223355,results_5.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,42,0.0,0.11764748772954868,1.1059798399495064,0.5690932597249087,0.5886686904506053,20241219-021926,results_185.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,43,0.0,0.35011446706371324,1.032749595276331,0.5678720717816462,0.6163910380399743,20241224-164719,results_130.jsonl
