model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,potential_type,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,max,0.13779773483655766,0.15685376027854964,1.388145002437112,0.6484516709649689,0.659838724120639,20241119-224650,results_11.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,8,diff,0.11936810983860256,0.1532356003596183,1.3579611140227528,0.6409099863887099,0.6516286087828641,20241120-123154,results_15.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,8,max,0.1270046700061607,0.1445676680017687,1.2976443486685645,0.6351657644709506,0.644212067483344,20241119-210944,results_22.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,add,0.15977386279439193,0.1416917669624309,1.3583976593954619,0.6341603983093345,0.6605630775843542,20241121-074330,results_34.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,max,0.12307789526158981,0.29196945114640577,1.2731741001900239,0.6332126674546887,0.6489300809513575,20241119-212737,results_57.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,max,0.13035292916377134,0.14243803975390434,1.3090519522523902,0.6260632701124721,0.6546011533777492,20241119-202507,results_8.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,diff,0.11718100837851196,0.13746351523747563,1.2816257599411132,0.6207002762554624,0.6420338133104091,20241120-021120,results_70.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,max,0.21673869420429034,0.12992471975617947,1.35286779303182,0.619593653735941,0.6722243713733075,20241120-120153,results_10.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,max,0.1169880756015332,0.24982040831111843,1.1265056366075645,0.6161234015688803,0.628917723332617,20241119-202220,results_2.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,max,0.12780590391773428,0.26402245642984484,1.2168318928422737,0.6143332706497601,0.627760763665019,20241119-202255,results_24.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,add,0.1266111542519593,0.25849382853334196,1.1810751127223964,0.6137592234400745,0.6155878823697973,20241120-150402,results_7.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,8,add,0.12898694809061387,0.13598117847660823,1.281164955396616,0.6134099416147288,0.6239939286481839,20241120-154725,results_28.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,8,diff,0.21509257115585356,0.12416306071841894,1.3457579043122079,0.6116416156243284,0.6587678200444157,20241121-031842,results_30.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,8,diff,0.18889714984280506,0.12461494963643921,1.334318446155758,0.6106546291818898,0.6625514900780859,20241120-174930,results_60.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,4,max,0.21533349812178995,0.23791779130343585,1.2464729752404207,0.6084156950712801,0.6549282720825275,20241120-041948,results_29.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,5,5,30,4,diff,0.11820626539762585,0.25658152816450025,1.16684295762849,0.6055748307543521,0.6209407013396375,20241120-015354,results_46.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,8,max,0.2447914369404316,0.12187771817646537,1.3771941315106522,0.6035478902500179,0.6735160111755857,20241120-132252,results_4.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,4,diff,0.10547718297265753,0.281660134394638,1.2325080827865447,0.603404635897987,0.6051686188122358,20241120-123155,results_61.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,4,add,0.15482938943083852,0.2661904669766757,1.2575415786756556,0.6019066328175372,0.6181348950497887,20241120-231331,results_37.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,8,diff,0.12710248208377395,0.11404265470972881,1.127853912902595,0.5934405558241994,0.6022510566659502,20241119-232007,results_14.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,8,max,0.22604467298087763,0.10520933263776841,1.2463317092080308,0.5925162865355684,0.6501543806862956,20241120-021054,results_38.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,8,max,0.1391514327788008,0.1259680207665912,1.2238055363795963,0.5904003913245935,0.6093654631420589,20241119-202222,results_35.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,8,add,0.13832455332379176,0.11499532284135097,1.16332737499912,0.5887685700085966,0.5977937173149939,20241120-123138,results_55.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,4,max,0.23781692385707207,0.23049968218508346,1.2354561346393604,0.5864908392434988,0.6419779353821907,20241120-050013,results_67.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,8,add,0.1653645829336337,0.12293377534147844,1.2467497591751124,0.5864245513647109,0.6087360305179454,20241120-181520,results_23.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,5,5,30,4,diff,0.18162931194006857,0.23500921412423306,1.1926518118322218,0.5862678872053873,0.605243928648184,20241120-100010,results_1.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,8,diff,0.21648067473071825,0.10505461990984855,1.247334568257735,0.5857351216061323,0.6227013933662869,20241120-123136,results_32.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,2.0,20,20,80,4,diff,0.21110170213994023,0.2280080447471945,1.2085553051097147,0.5857266593237338,0.629061268715524,20241120-201001,results_5.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,4,max,0.1437139300238779,0.204310209439835,1.0015066865417739,0.580817192313203,0.5917085751128305,20241119-202221,results_71.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,8,max,0.23596253237985143,0.10564985480260569,1.2740630368604435,0.5801130319148936,0.6312697005516156,20241120-023902,results_6.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,4,diff,0.10614370090118988,0.23007987461273455,1.053008410860077,0.5782511506913103,0.600875241779497,20241120-123118,results_40.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,8,diff,0.20553101200415042,0.1000918418973824,1.20555277955912,0.5766816435632925,0.614356597893832,20241120-050502,results_26.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,4,max,0.21910118175566087,0.18128814211112715,1.0501034970573784,0.575561219464145,0.6048548427537789,20241119-232505,results_68.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,diff,0.11413284116651977,0.11004178529389701,1.038596805865467,0.5719883789132458,0.5764230962103302,20241120-123117,results_9.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,4,add,0.1708111342709599,0.20821626026058743,1.0639010591004683,0.5697715631492227,0.5905649580915538,20241120-123132,results_41.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,0.12664540920063017,0.11764748772954868,1.1059798399495064,0.5690932597249087,0.5886686904506053,20241119-224738,results_66.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,diff,0.1184319244077931,0.1113865869220811,1.053238079285293,0.5663454357403825,0.5752289741385486,20241120-123451,results_13.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,4,max,0.2368893438620092,0.17306703079288074,1.0602192136570205,0.5635809558349453,0.5994293108388852,20241119-231627,results_63.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,0.12253483571448981,0.11510571022160102,1.0865432361299154,0.5611642578264919,0.5646332115481051,20241119-211745,results_54.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,5,5,30,4,diff,0.20510153950715798,0.1726182373594257,1.0318887595787887,0.5606530061250806,0.599829142488717,20241120-022033,results_73.jsonl
stabilityai/stable-diffusion-2-1,True,2.0,20,20,80,4,diff,0.22126141347321152,0.17635329301042943,1.045421138169601,0.5587449405401533,0.5976899312271654,20241120-152433,results_27.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,5,5,30,4,diff,0.12586653193165875,0.18046208330098318,0.9244509331332974,0.5522977559280751,0.5663947990543735,20241119-231840,results_48.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,8,add,0.18037354832289448,0.07200538003787728,0.9288443908041468,0.5406942205745398,0.5804532022351171,20241120-163258,results_69.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,max,0.11574217406561292,0.16996365636721872,0.8153600805063494,0.5404732609785802,0.5492219177591519,20241119-224624,results_49.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,0.11492237446839781,0.17506612838746113,0.8340604414588269,0.5400559003152089,0.5463725911598253,20241119-210945,results_50.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,8,diff,0.22408486168770958,0.0755728163820006,1.05872162718317,0.5352469396984024,0.5748964825560571,20241120-150558,results_33.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,8,add,0.1866379032184321,0.07346170837212031,0.9394416301081776,0.5337046775377893,0.563579142488717,20241120-183523,results_42.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,20,20,80,8,max,0.2447164475439524,0.07270454377471511,1.0360606091811067,0.52991938444731,0.5950924134966689,20241119-235026,results_25.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,8,max,0.14552926187610649,0.07183615524055702,0.8698856996375078,0.527513756805645,0.5638947990543735,20241119-203158,results_36.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,4,add,0.18540559672021306,0.11671225613683704,0.7474825342583565,0.5262831551328891,0.5618540010029371,20241120-171613,results_64.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,diff,0.10502331677544693,0.15446020880837,0.7536688424726008,0.5257578891754423,0.5233514220216348,20241120-123225,results_72.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,8,max,0.24927995606219466,0.07269271032124333,1.0299065300544714,0.5247299121534493,0.5911296475392219,20241120-012047,results_65.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,20,20,80,8,diff,0.2275744876596962,0.07177987481656048,1.0103195270432486,0.5187965313596963,0.5824691955011104,20241120-150335,results_74.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,8,add,0.1439832866286175,0.06331838056128085,0.8104570586609892,0.5177671775377893,0.5437077333619887,20241120-135351,results_59.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,8,diff,0.14708796386046177,0.06763613977792435,0.8528498404362083,0.5151370195751844,0.5470544093416434,20241120-022836,results_3.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,8,max,0.14411715572703274,0.07181353988648,0.8656287355837707,0.5144693275843542,0.5359276273372018,20241119-202223,results_20.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,8,diff,0.23423060283374722,0.052747292113599874,0.9408644625233321,0.5131509465219571,0.5851730962103302,20241120-050923,results_31.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,8,add,0.1487058202751237,0.06574230332720762,0.8369208549639415,0.5127934710580987,0.51191435632925,20241120-155557,results_47.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,8,max,0.23994385328473924,0.061493212227906636,1.0097549532929175,0.5127267466329967,0.5719683537502687,20241119-231229,results_62.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,8,diff,0.14388503269991326,0.06684819159327852,0.8361271392069016,0.5123183295723189,0.5380331685650835,20241120-014039,results_44.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,8,max,0.2365862940308414,0.06568631415961017,0.9996572206509223,0.508356033741672,0.557379647539222,20241119-230112,results_43.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,4,max,0.23889006793189113,0.09069156170457224,0.76213494733365,0.5025726233970915,0.5508885844258185,20241119-214836,results_39.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,4,add,0.18468819102221867,0.10474748958986771,0.7322734699771482,0.5024476368292858,0.5400942940038685,20241120-141317,results_18.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,4,add,0.15002164567835885,0.0956411785281905,0.6324022608719915,0.4999186456766244,0.5271998352317501,20241120-123530,results_21.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,4,max,0.16006672527863364,0.10899237309524429,0.6760249879168242,0.4989607511283043,0.5062902965828497,20241119-202224,results_51.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,4,diff,0.23212903787535202,0.07161874483212337,0.6994219019480225,0.49754428146715374,0.5331084784010316,20241120-035602,results_17.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,4,add,0.15378296450723575,0.09514422554865473,0.6199861233112963,0.4962111585715309,0.511955996131528,20241120-154815,results_58.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,20,20,80,4,max,0.2424559625839077,0.09469220187568912,0.7575406290816646,0.4947654515008238,0.5229125474604198,20241119-223306,results_53.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,5,5,30,4,max,0.24338938972860522,0.09064194813680584,0.7581392337071707,0.4934405222437137,0.5356279103087612,20241119-215150,results_0.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,8,diff,0.2325184172117042,0.0546601120351812,0.9467072475745358,0.4917340738949781,0.5405224228096569,20241120-041916,results_56.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,4,diff,0.22387623525212838,0.10240606187083245,0.7615004325825316,0.4909702073930797,0.5429887527759868,20241120-140710,results_52.jsonl
CompVis/stable-diffusion-v1-4,True,2.0,20,20,80,4,max,0.24021604410616873,0.09787638523956091,0.7664020192800141,0.48940952073930793,0.5346607923203668,20241120-000945,results_45.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,4,max,0.15246689210984365,0.10803271308170789,0.6827721859161721,0.4868273157102944,0.5082202342574683,20241119-202443,results_12.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,5,5,30,4,diff,0.1458745891427045,0.08828647233710825,0.5730854350548056,0.4861114693029587,0.5082929472025217,20241119-235653,results_19.jsonl
runwayml/stable-diffusion-v1-5,True,2.0,5,5,30,4,diff,0.23304995970554637,0.08290144130857038,0.7555997035521711,0.4853906977577191,0.5291962174940898,20241120-012419,results_16.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,5,5,30,4,diff,0.1436554720527602,0.09017548460583244,0.5989817037473637,0.4814069104162189,0.5119533992406333,20241120-022610,results_75.jsonl
